StatisticCrimeGroup,StatisticCrimeType,Crime,Excluded
לא ידוע,לא ידוע,לא ידוע,
לא ידוע,לא ידוע,לא ידוע,
לא ידוע,לא ידוע,לא ידוע,
לא ידוע,לא ידוע,שימוש בטלפון בעת שהרכב נע שלא באמצעות מיקרופון המו,
לא ידוע,לא ידוע,שליחת או קריאת מסרון,
סעיפי הגדרה,סעיפי הגדרה,איסור אחסון הובלה והפצה של תרופות במבנה ובציוד לא,
סעיפי הגדרה,סעיפי הגדרה,"איסור אחסון, הובלה והפצה אלא באמצעות בית מסחר לתרו",
סעיפי הגדרה,סעיפי הגדרה,"איסור איחסון, הובלה או הפצת תרופות בתנאים לא נאותי",
סעיפי הגדרה,סעיפי הגדרה,איסור הפעלת בית מסחר לתרופות ללא רוקח אחראי,
סעיפי הגדרה,סעיפי הגדרה,איסור ייצור וייבוא תכשירים בניגוד לאישור המנהל,
סעיפי הגדרה,סעיפי הגדרה,"איסור ייצור, אחסון, הובלה או הפצה של חומרי גלם פעי",
סעיפי הגדרה,סעיפי הגדרה,איסור לייבא ולשווק תכשיר תואם ללא אישור מנהל,
סעיפי הגדרה,סעיפי הגדרה,איסור לקבל תרופות מגוף שאינו בית מסחר אחר לתרופות,
סעיפי הגדרה,סעיפי הגדרה,איסור מכירת תכשיר ללא מרשם בניגוד להוראות שקבע שר,
סעיפי הגדרה,סעיפי הגדרה,"איסור מכירת תכשיר מרשם אלא ע""י רוקח",
סעיפי הגדרה,סעיפי הגדרה,איסור שיווק בסיטונאות למוסד שאינו בית מסחר לתרופות,
סעיפי הגדרה,סעיפי הגדרה,איסור שיווק סיטונאי של תרופות למוסד שאינו בית מסחר,
סעיפי הגדרה,סעיפי הגדרה,האחריות של המייעץ,
סעיפי הגדרה,סעיפי הגדרה,המסייע לביצוע עבירה,
סעיפי הגדרה,סעיפי הגדרה,המסייע לביצוע עבירה,
סעיפי הגדרה,סעיפי הגדרה,התחייבות הנדון להמנע מעבירה,
סעיפי הגדרה,סעיפי הגדרה,לא יכנס אדם ולא יצא מישראל אלא בתחנות הגבול,
סעיפי הגדרה,סעיפי הגדרה,מאסר על אי מתן התחייבות,
סעיפי הגדרה,סעיפי הגדרה,מאסר שאין כנגדו קנס,
סעיפי הגדרה,סעיפי הגדרה,מאסר שאין כנגדו קנס,
סעיפי הגדרה,סעיפי הגדרה,מבצע בצוותא,
סעיפי הגדרה,סעיפי הגדרה,מבצע עבירה,
סעיפי הגדרה,סעיפי הגדרה,מבצע עבירה- לרבות מבצעה בצוותא או באמצעות אחר,
סעיפי הגדרה,סעיפי הגדרה,מבצעים בצוותא,
סעיפי הגדרה,סעיפי הגדרה,ניסיון,
סעיפי הגדרה,סעיפי הגדרה,ניסיון,
סעיפי הגדרה,סעיפי הגדרה,ניסיון,
סעיפי הגדרה,סעיפי הגדרה,ניסיון לשידול(מיתה/ מאסר עולם חובה),
סעיפי הגדרה,סעיפי הגדרה,ניסיון לשידול(עונש מאסר עולם),
סעיפי הגדרה,סעיפי הגדרה,נסיון,
סעיפי הגדרה,סעיפי הגדרה,נסיון לשידול,
סעיפי הגדרה,סעיפי הגדרה,נסיון לשידול,
סעיפי הגדרה,סעיפי הגדרה,נסיון לשידול (לעבירת עונש מזערי),
סעיפי הגדרה,סעיפי הגדרה,סיוע,
