"disease_type","Jerusalem","Zefat","Kinneret","Afula","Akko","Nazareth","Haifa","Hadera","Ha'Sharon","Petach Tiqwa","Ramla","Rehovot","Tel Aviv","Beer Sheva","Ashqelon","disease_type_heb","week_num","year"
"Varicella - Chickenpox",6,0,0,0,0,0,0,0,2,7,0,0,4,0,2,"אבעבועות רוח","1","2015"
"Smallpox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אבעבועות שחורות","1","2015"
"Rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת","1","2015"
"Congenital rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת מלידה","1","2015"
"E. coli O157:H7 infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7","1","2015"
"HIV carrier/ AIDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"נשא HIV/ איידס","1","2015"
"Echinococcosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אכינוקוקוזיס","1","2015"
"Diphtheria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אסכרה","1","2015"
"Botulism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"בוטוליזם","1","2015"
"Brucellosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ברוצלוזיס","1","2015"
"Giardiasis",9,0,0,0,0,0,26,0,3,2,0,0,20,0,7,"ג'יארדיאזיס","1","2015"
"Anthrax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"גחלת","1","2015"
"Pneumonic Plague",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר נשימתי","1","2015"
"Plague- non pneumonic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר שאינו נשימתי","1","2015"
"Acute Hepatitis A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית A","1","2015"
"Acute Hepatitis B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית B","1","2015"
"Acute Hepatitis C",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"דלקת כבד נגיפית C","1","2015"
"Acute viral hepatitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית אחרת","1","2015"
"Encephalitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת מח חדה","1","2015"
"Meningitis - meningococcal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה מנינגוקוקית","1","2015"
"Meningitis - Haemophilus influenzae b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib","1","2015"
"Meningitis - pneumococcal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה פנוימוקוקית","1","2015"
"Acute viral meningitis",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,"דלקת עוצבה נגיפית","1","2015"
"Meningitis - unknown agent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה - מחולל לא ידוע","1","2015"
"Meningitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה אחרת","1","2015"
"Gonorrhea",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"זיבה","1","2015"
"H. influenzae b invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib","1","2015"
"Meningococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י מנינגוקוק","1","2015"
"Pneumococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"זיהום פולשני ע""י פנוימוקוק","1","2015"
"Mumps",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"חזרת","1","2015"
"Measles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"חצבת","1","2015"
"Tularemia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טולרמיה","1","2015"
"Typhoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפואיד","1","2015"
"Murine typhus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפוס מוריני","1","2015"
"Cholera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כולירה","1","2015"
"Non cholera vibrio infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ויבריו שאינו כולירה","1","2015"
"Rabies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כלבת","1","2015"
"Chlamydia trachomatis of the genital tract",3,0,0,0,0,0,0,0,3,0,0,0,2,0,0,"כלמידיה טרכומטיס בדרכי המין","1","2015"
"Lymphogranuloma venereum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לימפוגרנולומה ונראום","1","2015"
"Listeriosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ליסטריוזיס","1","2015"
"Visceral leishmaniasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לישמניאזיס - קלה אזר","1","2015"
"Cutaneous leishmaniasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"לישמניאזיס של העור","1","2015"
"Leptospirosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לפטוספירוזיס","1","2015"
"Legionellosis",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"מחלת הלגיונרים","1","2015"
"Creutzfeldt-Jacob disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת קרויצפלדט-יעקוב","1","2015"
"Malaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מלריה","1","2015"
"GAS Invasive Infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוקים מקבוצה A זיהום פולשני","1","2015"
"Perinatal streptococcal B early onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מוקדמת","1","2015"
"Perinatal streptococcal B late onset",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מאוחרת","1","2015"
"Salmonellosis of the gastrointestinal tract",9,0,0,0,1,0,2,0,7,0,1,0,3,5,0,"סלמונלוזיס של דרכי העיכול","1","2015"
"Syphilis - primary and secondary",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"עגבת ראשונית ושניונית","1","2015"
"Syphilis - other",0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,"עגבת אחרת ומאוחרת","1","2015"
"Congenital Syphilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"עגבת מלידה","1","2015"
"Paratyphoid fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"פאראטיפואיד","1","2015"
"Tetanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צפדת","1","2015"
"Leprosy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צרעת","1","2015"
"Q fever",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת Q","1","2015"
"Dangue fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת דנגי","1","2015"
"Rift Valley fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת השקע האפריקני","1","2015"
"Relapsing fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת חוזרת","1","2015"
"Spotted fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת כתמים","1","2015"
"West Nile fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת מערב הנילוס","1","2015"
"Viral hemorrhagic fever: Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג","1","2015"
"Viral hemorrhagic fever excluding Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג","1","2015"
"Yellow Fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת צהובה","1","2015"
"Rheumatic fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת שיגרון","1","2015"
"Campylobacteriosis",34,0,0,0,3,0,5,38,6,4,0,0,19,12,18,"קמפילובקטריוזיס","1","2015"
"Criptosporidiosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קריפטוספורידיוזיס","1","2015"
"Other rickettsial diseases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ריקטסיוזות אחרות","1","2015"
"Tuberculosis - active pulmonary",0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,"שחפת ריאות פעילה","1","2015"
