disease_type,Jerusalem,Zefat,Kinneret,Afula,Akko,Nazareth,Haifa,Hadera,Ha'Sharon,Petach Tiqwa,Ramla,Rehovot,Tel Aviv,Beer Sheva,Ashqelon,disease_type_heb,week_num,year,all_districts
Varicella - Chickenpox,6,0,0,0,0,0,0,0,2,7,0,0,4,0,2,אבעבועות רוח,1,2015,21
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אבעבועות שחורות,1,2015,0
Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אדמת,1,2015,0
Congenital rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אדמת מלידה,1,2015,0
E. coli O157:H7 infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7",1,2015,0
HIV carrier/ AIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,נשא HIV/ איידס,1,2015,0
Echinococcosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אכינוקוקוזיס,1,2015,0
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אסכרה,1,2015,0
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,בוטוליזם,1,2015,0
Brucellosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ברוצלוזיס,1,2015,0
Giardiasis,9,0,0,0,0,0,26,0,3,2,0,0,20,0,7,ג'יארדיאזיס,1,2015,67
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,גחלת,1,2015,0
Pneumonic Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דבר נשימתי,1,2015,0
Plague- non pneumonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דבר שאינו נשימתי,1,2015,0
Acute Hepatitis A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית A,1,2015,0
Acute Hepatitis B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית B,1,2015,0
Acute Hepatitis C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,דלקת כבד נגיפית C,1,2015,2
Acute viral hepatitis - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית אחרת,1,2015,0
Encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת מח חדה,1,2015,0
Meningitis - meningococcal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה חדה מנינגוקוקית,1,2015,1
Meningitis - Haemophilus influenzae b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib",1,2015,0
Meningitis - pneumococcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה חדה פנוימוקוקית,1,2015,0
Acute viral meningitis,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,דלקת עוצבה נגיפית,1,2015,3
Meningitis - unknown agent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה - מחולל לא ידוע,1,2015,0
Meningitis - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה חדה אחרת,1,2015,0
Gonorrhea,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,זיבה,1,2015,3
H. influenzae b invasive infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib",1,2015,0
Meningococcal invasive infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י מנינגוקוק",1,2015,0
Pneumococcal invasive infection,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"זיהום פולשני ע""י פנוימוקוק",1,2015,5
Mumps,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,חזרת,1,2015,1
Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,חצבת,1,2015,0
Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,טולרמיה,1,2015,0
Typhoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,טיפואיד,1,2015,0
Murine typhus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,טיפוס מוריני,1,2015,0
Cholera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,כולירה,1,2015,0
Non cholera vibrio infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ויבריו שאינו כולירה,1,2015,0
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,כלבת,1,2015,0
Chlamydia trachomatis of the genital tract,3,0,0,0,0,0,0,0,3,0,0,0,2,0,0,כלמידיה טרכומטיס בדרכי המין,1,2015,8
