stn_num|stn_type|stn_name|stn_name_heb|stn_long|stn_lat|isr_grid_X|isr_grid_Y|stn_hgt|date_open|date_close|stn_auto|stn_num_env|date_web_frst|date_web_last|yearly_rain|
21|1|ROSH HANIQRA|ראש הנקרה|35.107900000000001|33.080599999999997|210430|776160|10|2003-09-01||1|106|2003-09|2022-06|0|
120|1|NAHARIYYA NORTH|נהרייה צפון|35.096299999999999|33.024900000000002|209350|769980|10|1962-10-01|1984-01-31|0||1964-01|1983-12|0|
190|1|SHAVE ZIYYON|שבי ציון|35.092300000000002|32.983600000000003|208980|765390|5|2009-10-01||1|343|2009-10|2022-06|0|
282|1|AKKO|עכו|35.101999999999997|32.931800000000003|209870|759650|8|1986-01-01|2014-09-30|0||1986-01|2003-12|0|
282|5|AKKO|עכו|35.101999999999997|32.931800000000003|209870|759650|8|2004-01-01|2014-09-30|0||2004-01|2013-11|0|
301|1|AFEQ|אפק|35.112299999999998|32.846600000000002|210840|750200|10|2002-06-01||1|78|2002-06|2022-06|0|
415|1|HAIFA SHIQMONA|חיפה שקמונה|34.956699999999998|32.825699999999998|196250|747900|5|1978-08-01|1986-01-31|0||1978-08|1983-12|0|
550|1|HAIFA PORT|חיפה נמל|34.997700000000002|32.828299999999999|200090|748190|10|2000-01-01|2011-06-30|1|26|2000-01|2011-06|0|
600|1|HAIFA REFINERIES|חיפה בתי זיקוק|35.0548|32.803400000000003|205450|745420|5|1998-07-01||1|41|1999-01|2022-06|0|
630|1|QIRYAT ATTA|קרית אתא|35.105699999999999|32.805100000000003|210200|745600|35|1947-10-01|1971-06-30|0||1964-01|1971-06|0|
631|1|QIRYAT ATTA|קרית אתא|35.105699999999999|32.805100000000003|210200|745600|35|1971-07-01|1980-06-30|0||1971-07|1980-06|0|
850|1|HAIFA TECHNION|חיפה טכניון|35.022300000000001|32.773600000000002|202390|742120|245|1995-01-01||1|43|1995-01|2022-06|0|
850|4|HAIFA TECHNION|חיפה טכניון|35.022300000000001|32.773600000000002|202390|742120|245|1996-01-01||1|43|1996-01|2022-06|0|
860|1|CARMEL HAIFA UNIV|חיפה אוניברסיטה|35.023099999999999|32.758400000000002|202470|740440|450|1975-11-01|1982-06-30|0||1975-11|1980-12|0|
861|1|HAIFA UNIVERSITY|חיפה אוניברסיטה|35.020800000000001|32.761099999999999|202240|740730|475|2001-10-01||1|42|2001-10|2022-06|0|
910|1|YAGUR|יגור|35.078499999999998|32.740200000000002|207660|738410|25|1950-09-01|1975-04-30|0||1964-01|1974-03|0|
980|1|BET OREN|בית אורן|35.0075|32.7301|200990|737290|370|1959-11-01|1967-12-31|0||1964-01|1967-05|0|
1053|5|EN KARMEL|עין כרמל|34.959400000000002|32.680799999999998|196480|731830|25|1994-02-01|2001-11-30|0||1994-02|2001-11|0|
