FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202101,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,-97.92,48.06,-62.38,-208.36,9704.06,0.65,0.32,1.49,1.49,11.9,26.22,3.82,4.77,4.6,0.84,0.92,74.9,2476.54,3071.71,1647.37,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202102,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,4.25,42.78,-72.88,-111.41,9639.16,0.65,0.32,0.49,1.99,13.45,27.27,4.3,4.94,4.59,1.08,0.95,74.6,2471.17,3077.79,1594.4,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202103,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,11.62,46.42,-58.33,-93.13,9680.68,0.65,0.32,1.53,3.55,15.62,27.23,4.96,4.93,4.59,0.96,1.01,75.2,2471.65,3139.62,1606.52,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202104,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,13.72,45.09,-44.33,-75.7,9731.28,0.65,0.32,1.36,4.96,16.53,27.8,5.23,5.03,4.6,1.08,1.07,75.2,2488.38,3118.8,1670.91,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202105,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,8.33,48.4,-57.02,-97.09,9801.15,0.65,0.32,1.69,6.73,18.62,29.7,5.86,5.34,4.63,1.2,1.15,74.9,2525.02,3166.52,1676.62,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202106,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,13.31,48.2,-67.21,-102.1,9746.68,0.65,0.32,0.54,7.31,19.02,30.65,5.98,5.49,4.63,1.32,1.18,74.8,2425.1,3234.1,1647.56,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202107,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,16.03,45.42,-51.41,-80.8,9654.63,0.65,0.32,-0.03,7.27,18.14,28.24,5.71,5.1,4.59,1.2,1.13,74.4,2394.46,3210.24,1601.76,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202108,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,9.82,44.92,-56.1,-91.2,9726.07,0.65,0.32,1.72,9.12,19.34,29.96,6.07,5.38,4.62,1.08,1.22,74.3,2419.13,3267.7,1523.67,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202109,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,12,24.48,-25.66,-38.14,9678.37,0.65,0.32,-0.12,8.99,18.82,30.53,5.92,5.47,4.61,1.08,1.21,74.3,2380.12,3213.07,1498.7,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202110,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,24.08,51.41,-29.07,-56.4,9695.65,0.65,0.32,0.99,10.07,21.69,31.67,6.76,5.66,4.61,0.96,1.26,74.6,2372.26,3228.6,1517.21,512267592,23/02/2022 14:14
