FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201101,01/01/1970,כלל האוכלוסיה,כללי,כללי,2.07,8.69,-4.19,-10.81,1545.3,1.3,,0.34,0.34,22.19,36.52,6.91,6.42,7.77,0.72,0.6,76.3,452.08,319.22,119.36,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201102,01/01/1970,כלל האוכלוסיה,כללי,כללי,1.96,8,-17.11,-23.15,1524.95,1.3,,0.29,0.63,20.93,37.48,6.54,6.57,7.76,0.84,0.61,76,476.01,350.63,154.46,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201103,01/01/1970,כלל האוכלוסיה,כללי,כללי,2.15,6.91,-5.63,-10.39,1515.15,1.3,,0.15,0.78,25.23,36.49,7.79,6.42,7.76,0.84,0.6,76.1,459.67,311.27,143.67,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201104,01/01/1970,כלל האוכלוסיה,כללי,כללי,2.28,5.49,-1.19,-4.4,1516.22,1.3,,0.47,1.26,23.27,34.35,7.22,6.08,7.73,0.96,0.58,76,455.53,308.04,123.58,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201105,01/01/1970,כלל האוכלוסיה,כללי,כללי,2.12,8.41,-3.6,-9.89,1488.88,1.3,,-1.04,0.2,21.28,33.57,6.64,5.96,7.75,0.84,0.53,76.1,469.82,328.94,119.04,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201106,01/01/1970,כלל האוכלוסיה,כללי,כללי,1.94,7.54,-2.33,-7.93,1465.6,1.3,,-0.92,-0.72,21.09,35.22,6.59,6.22,7.68,0.84,0.5,75.6,452.51,298.87,104.52,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201107,01/01/1970,כלל האוכלוסיה,כללי,כללי,4.05,8.78,-6.2,-10.93,1454.59,1.3,,0.1,-0.62,22.69,34.65,7.05,6.13,7.69,0.84,0.49,75.2,435.62,297.87,106.42,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201108,01/01/1970,כלל האוכלוסיה,כללי,כללי,2.01,6.86,-5.68,-10.53,1413.03,1.3,,-2.03,-2.64,20.06,30.74,6.28,5.51,7.77,0.84,0.36,74.6,384.84,327.59,162.34,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201109,01/01/1970,כלל האוכלוסיה,כללי,כללי,2.27,6.55,-2.27,-6.55,1380.38,1.3,,-1.74,-4.33,24.61,27.54,7.61,4.99,7.83,0.84,0.26,75.2,379.25,322.54,171.91,513026484,10/07/2018 08:23
102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,"קבוצת דלק בע""מ","אקסלנס  גמל והשתלמות בע""מ",201110,01/01/1970,כלל האוכלוסיה,כללי,כללי,2.02,5.98,-3.13,-7.09,1408.41,1.3,,2.66,-1.79,39.09,27.87,11.63,5.04,7.84,0.96,0.34,75.7,426.55,359.31,187.84,513026484,10/07/2018 08:23
