"   ","FUND_ID","FUND_NAME","FUND_CLASSIFICATION","CONTROLLING_CORPORATION","MANAGING_CORPORATION","REPORT_PERIOD","INCEPTION_DATE","TARGET_POPULATION","SPECIALIZATION","SUB_SPECIALIZATION","DEPOSITS","WITHDRAWLS","INTERNAL_TRANSFERS","NET_MONTHLY_DEPOSITS","TOTAL_ASSETS","AVG_ANNUAL_MANAGEMENT_FEE","AVG_DEPOSIT_FEE","MONTHLY_YIELD","YEAR_TO_DATE_YIELD","YIELD_TRAILING_3_YRS","YIELD_TRAILING_5_YRS","AVG_ANNUAL_YIELD_TRAILING_3YRS","AVG_ANNUAL_YIELD_TRAILING_5YRS","STANDARD_DEVIATION","ALPHA","SHARPE_RATIO","LIQUID_ASSETS_PERCENT","STOCK_MARKET_EXPOSURE","FOREIGN_EXPOSURE","FOREIGN_CURRENCY_EXPOSURE","MANAGING_CORPORATION_LEGAL_ID","CURRENT_DATE"
"1","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201501","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","14.97","50.49","-23.26","-58.78","12365.8","0.77","1.04","0.73","0.73","26.75","37.46","8.22","6.57","4.78","1.32","1.05","77","4194.11","4605.89","1065.31","512205204","10/07/2018 08:31:02"
"2","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201502","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","10.01","52.13","-20.72","-62.84","12603.39","0.77","1.04","2.51","3.26","28.71","39.07","8.78","6.82","4.85","1.2","1.16","77","4384.41","4745.57","1114.61","512205204","10/07/2018 08:31:02"
"3","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201503","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","25.23","59.00","-27.46","-61.23","12589.15","0.77","1.04","0.44","3.71","27.78","37.11","8.51","6.52","4.81","1.2","1.14","77.8","4439.6","4676.92","1198.32","512205204","10/07/2018 08:31:02"
"4","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201504","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","14.56","52.44","-21.88","-59.76","12631.59","0.77","1.04","0.88","4.63","27.42","39.12","8.41","6.83","4.79","1.2","1.21","76.3","4386.17","4652.11","1213.53","512205204","10/07/2018 08:31:02"
"5","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201505","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","14.07","50.60","-21.85","-58.38","12636.75","0.77","1.04","0.57","5.22","31.59","43","9.58","7.42","4.63","1.32","1.32","76.6","4418.94","4646.15","1190.32","512205204","10/07/2018 08:31:02"
"6","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201506","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","12.69","57.91","-32.28","-77.50","12296.43","0.77","1.04","-2.02","3.1","29.17","39.58","8.91","6.9","4.77","1.68","1.06","77.5","4279.16","4452.19","1112.53","512205204","10/07/2018 08:31:02"
"7","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201507","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","14.98","50.32","-17.64","-52.98","12396.99","0.77","1.04","1.32","4.46","27.82","38.18","8.53","6.68","4.72","1.68","1.1","77.4","4326.91","4473.57","1116.32","512205204","10/07/2018 08:31:02"
"8","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201508","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","15.43","56.48","-28.83","-69.88","12115.6","0.77","1.04","-1.65","2.73","25.18","34.99","7.77","6.18","4.82","1.8","0.91","77.4","4236.98","4564.71","1084.89","512205204","10/07/2018 08:31:02"
"9","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201509","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","14.15","36.11","-9.04","-31.00","11839.73","0.77","1.04","-1.96","0.72","20.13","29.93","6.3","5.38","4.9","1.8","0.68","77.2","4084.59","4437","1009.54","512205204","10/07/2018 08:31:02"
"10","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201510","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","13.34","45.78","-3.28","-35.72","12117.83","0.77","1.04","2.72","3.46","21.24","30.03","6.63","5.39","4.91","2.04","0.79","77.5","3964.37","4515.61","1098.06","512205204","10/07/2018 08:31:02"
"11","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201511","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","15.93","49.22","-6.99","-40.28","12061.2","0.77","1.04","-0.07","3.39","19.86","30.83","6.22","5.52","4.89","2.04","0.79","77.8","3520.36","4294.09","1065.83","512205204","10/07/2018 08:31:02"
"12","101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל גמל והשתלמות בע""מ","201512","01/04/1979","כלל האוכלוסיה","אג""ח","משולב מניות","28.91","56.12","32.75","5.54","11961.74","0.77","1.04","-0.81","2.55","18.84","28.51","5.92","5.14","4.91","2.16","0.69","77.5","3282.83","4029.65","1047.89","512205204","10/07/2018 08:31:02"
"13","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201501","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","5.85","13.75","-25.54","-33.44","5555.8","0.77","1.15","0.51","0.51","24.64","36.83","7.62","6.47","4.71","0.96","1.03","82.8","1670.18","1397.49","909.52","512065202","10/07/2018 08:31:02"
"14","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201502","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","6.00","15.19","-24.13","-33.32","5644.37","0.77","1.15","2.26","2.78","27","37.55","8.29","6.58","4.74","0.84","1.12","83.1","1938.55","1590.86","810.7","512065202","10/07/2018 08:31:02"
"15","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201503","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","10.33","18.33","-26.62","-34.62","5645.38","0.77","1.15","0.7","3.5","26.67","35.89","8.2","6.33","4.7","0.72","1.12","83.1","1996.76","1671.68","822.93","512065202","10/07/2018 08:31:02"
"16","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201504","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","6.45","17.22","-30.31","-41.08","5629.26","0.77","1.15","0.5","4.02","25.87","37.69","7.97","6.61","4.66","0.72","1.17","83.2","1976.95","1669.9","740.64","512065202","10/07/2018 08:31:02"
"17","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201505","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","5.80","16.30","-40.17","-50.67","5613.78","0.77","1.15","0.7","4.75","30.38","41.71","9.25","7.22","4.5","0.84","1.29","83.1","2036.58","1724.48","678.42","512065202","10/07/2018 08:31:02"
"18","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201506","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","5.22","14.51","-40.32","-49.61","5447.52","0.77","1.15","-2.02","2.63","28.82","38.17","8.81","6.68","4.65","1.08","1.03","83.3","1964.73","1689.8","630.36","512065202","10/07/2018 08:31:02"
"19","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201507","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","6.81","15.49","-28.34","-37.02","5483.54","0.77","1.15","1.41","4.08","27.65","37.16","8.48","6.52","4.61","1.08","1.08","83.2","2012.6","1725.66","674.5","512065202","10/07/2018 08:31:02"
"20","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201508","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","10.32","13.63","-27.25","-30.56","5368.26","0.77","1.15","-1.47","2.55","25.61","34.04","7.9","6.03","4.69","1.2","0.9","82.7","1834.46","1603.22","673.32","512065202","10/07/2018 08:31:02"
"21","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201509","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","4.58","8.19","-13.04","-16.65","5251.2","0.77","1.15","-1.81","0.69","21.05","28.68","6.57","5.17","4.73","1.08","0.68","82.6","1778.69","1541.26","651.28","512065202","10/07/2018 08:31:02"
"22","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201510","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","6.17","10.61","-11.86","-16.30","5355.88","0.77","1.15","2.38","3.09","21.53","27.93","6.72","5.05","4.67","1.08","0.77","82.8","1955.55","1676.27","734.68","512065202","10/07/2018 08:31:02"
"23","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201511","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","11.06","13.38","-12.89","-15.21","5329.73","0.77","1.15","-0.14","2.94","19.74","28.86","6.19","5.2","4.64","1.2","0.77","82.9","1893.84","1663.25","752.16","512065202","10/07/2018 08:31:02"
"24","103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","201512","01/01/1970","כלל האוכלוסיה","מדרגות","50-60","13.67","15.66","-22.15","-24.14","5248.65","0.77","1.15","-1","1.91","18.3","25.43","5.76","4.64","4.65","1.08","0.63","82.6","1777.24","1588.27","765.22","512065202","10/07/2018 08:31:02"
"25","106","פסגות גדיש כללי","תגמולים ואישית לפיצויים","פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ","201501","02/02/1976","כלל האוכלוסיה","כללי","כללי","36.70","96.06","-37.40","-96.76","28640.3","0.76","1.39","0.79","0.79","28.27","39.58","8.65","6.9","4.69","1.2","1.18","83.1","9044.74","8236.94","5207.54","513765347","10/07/2018 08:31:02"
"26","106","פסגות גדיש כללי","תגמולים ואישית לפיצויים","פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ","201502","02/02/1976","כלל האוכלוסיה","כללי","כללי","39.68","96.01","-5.00","-61.33","29259.36","0.76","1.39","2.44","3.25","30.74","41.12","9.35","7.13","4.75","1.08","1.29","83.6","9228.04","8353.69","5232.57","513765347","10/07/2018 08:31:02"
