Response ID,מהו גילך,האם את.ה...,"מה היקף הפעילות הספורטיבית שלך במהלך שבוע ""רגיל""?"
1,30,גבר,מעל שעתיים ועד חמש שעות
2,March Hare. 'I didn't.,אשה,NA
3,I've got back to finish.,גבר,עד שעתיים בשבוע
4,NA,אשה,מעל חמש שעות
5,The Fish-Footman began.,אשה,מעל שעתיים ועד חמש שעות
6,"M, such as mouse-traps.",NA,מעל חמש שעות
7,Majesty!' the soldiers.,אשה,NA
8,Tell her to begin.'.,אשה,מעל חמש שעות
9,March Hare. 'Exactly.,גבר,עד שעתיים בשבוע
10,Alice soon began.,גבר,NA
11,CAN all that green.,אשה,NA
12,And how odd the.,אשה,מעל שעתיים ועד חמש שעות
13,That he met in the sun.,אשה,מעל חמש שעות
14,The Hatter looked at.,גבר,מעל חמש שעות
15,"Him, and ourselves, and.",אשה,מעל חמש שעות
16,"MINE,' said the Queen.",אשה,מעל שעתיים ועד חמש שעות
17,NA,גבר,עד שעתיים בשבוע
18,Knave was standing.,אשה,כלל לא מבצע פעילות
19,NA,גבר,מעל שעתיים ועד חמש שעות
20,"White Rabbit, trotting.",אשה,מעל חמש שעות
21,The Gryphon lifted up.,גבר,מעל שעתיים ועד חמש שעות
22,"Hatter, and here the.",אשה,כלל לא מבצע פעילות
23,"VERY wide, but she.",גבר,מעל חמש שעות
24,I eat one of the.,אשה,עד שעתיים בשבוע
25,Bill! catch hold of.,NA,עד שעתיים בשבוע
26,The Gryphon sat up and.,גבר,NA
27,As soon as she went on.,גבר,עד שעתיים בשבוע
28,NA,גבר,מעל חמש שעות
29,Hatter. He came in.,גבר,מעל חמש שעות
30,So Alice began telling.,אשה,עד שעתיים בשבוע
31,"Time!' 'Perhaps not,'.",אשה,מעל שעתיים ועד חמש שעות
32,I think I can reach the.,אשה,מעל שעתיים ועד חמש שעות
33,Alice. 'I've read that.,אשה,מעל חמש שעות
34,"White Rabbit, 'but it.",אשה,עד שעתיים בשבוע
35,"Queen, in a very poor.",גבר,מעל חמש שעות
36,Duchess said to herself.,אשה,NA
37,The Duchess took no.,גבר,עד שעתיים בשבוע
38,"Alice, very much.",גבר,מעל חמש שעות
39,If I or she fell past.,אשה,כלל לא מבצע פעילות
40,"I mean what I get"" is.",NA,מעל שעתיים ועד חמש שעות
41,Mock Turtle.,אשה,כלל לא מבצע פעילות
42,"Gryphon, lying fast.",גבר,מעל שעתיים ועד חמש שעות
43,Alice. 'Why?' 'IT DOES.,אשה,מעל שעתיים ועד חמש שעות
44,"Mouse, getting up and.",גבר,מעל חמש שעות
45,Duchess. 'I make you a.,אשה,מעל חמש שעות
46,Alice's shoulder as he.,גבר,מעל שעתיים ועד חמש שעות
47,Dormouse! Turn that.,גבר,עד שעתיים בשבוע
48,Mock Turtle to sing you.,גבר,מעל שעתיים ועד חמש שעות
49,Pigeon. 'I can see.,אשה,מעל שעתיים ועד חמש שעות
50,NA,גבר,עד שעתיים בשבוע
51,"Gryphon. 'Of course,'.",גבר,כלל לא מבצע פעילות
52,"I'm I, and--oh dear.",גבר,עד שעתיים בשבוע
53,The Dormouse had closed.,אשה,NA
54,"Normans--"" How are you.",גבר,מעל חמש שעות
55,NA,אשה,כלל לא מבצע פעילות
56,"Queen, pointing to.",גבר,מעל שעתיים ועד חמש שעות
57,Alice thought to.,NA,כלל לא מבצע פעילות
58,Some of the door began.,גבר,NA
59,SOME change in my.,גבר,מעל שעתיים ועד חמש שעות
60,After these came the.,אשה,כלל לא מבצע פעילות
61,Gryphon said to.,גבר,מעל שעתיים ועד חמש שעות
62,Alice could not answer.,אשה,עד שעתיים בשבוע
63,"Alice, in a low voice.",אשה,מעל שעתיים ועד חמש שעות
64,"THIS size: why, I.",גבר,עד שעתיים בשבוע
65,Then it got down off.,אשה,כלל לא מבצע פעילות
66,"Knave of Hearts, he.",גבר,NA
67,So she sat down and.,אשה,עד שעתיים בשבוע
68,I suppose you'll be.,גבר,עד שעתיים בשבוע
69,Queen. First came ten.,גבר,מעל שעתיים ועד חמש שעות
70,"Queen's absence, and.",גבר,מעל חמש שעות
71,"I'm not Ada,' she said.",גבר,מעל שעתיים ועד חמש שעות
72,The jury all looked so.,גבר,כלל לא מבצע פעילות
73,Alice soon came to ME.,גבר,מעל שעתיים ועד חמש שעות
74,PRECIOUS nose'; as an.,גבר,כלל לא מבצע פעילות
75,Let me think: was I the.,אשה,NA
76,"King said, turning to.",אשה,מעל חמש שעות
77,Alice did not venture.,גבר,מעל חמש שעות
78,"I am, sir,' said Alice.",גבר,מעל חמש שעות
79,I wonder who will put.,אשה,עד שעתיים בשבוע
80,COULD grin.' 'They all.,גבר,עד שעתיים בשבוע
81,Alice. 'Call it what.,גבר,עד שעתיים בשבוע
82,Queen never left off.,גבר,מעל חמש שעות
83,"I was, I shouldn't like.",גבר,כלל לא מבצע פעילות
84,Alice. 'But you're so.,NA,מעל חמש שעות
85,NA,אשה,מעל חמש שעות
86,At this moment Alice.,גבר,כלל לא מבצע פעילות
87,ARE a simpleton.' Alice.,גבר,מעל חמש שעות
88,Alice. 'And ever since.,אשה,כלל לא מבצע פעילות
89,Owl and the baby--the.,גבר,מעל שעתיים ועד חמש שעות
90,There seemed to be told.,אשה,מעל שעתיים ועד חמש שעות
91,March Hare. 'Exactly.,גבר,NA
92,I don't like them raw.'.,גבר,NA
93,Then it got down off.,גבר,עד שעתיים בשבוע
94,Pigeon had finished.,גבר,מעל שעתיים ועד חמש שעות
95,Alice caught the.,אשה,עד שעתיים בשבוע
96,And with that she let.,גבר,NA
97,I am in the prisoner's.,אשה,עד שעתיים בשבוע
98,Hatter. 'You MUST.,אשה,NA
99,"Queen, the royal.",NA,עד שעתיים בשבוע
100,Alice 'without pictures.,אשה,כלל לא מבצע פעילות
101,NA,גבר,כלל לא מבצע פעילות
