Response ID,"Set Number:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","Card Number:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","זמן סוללה:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","GPS:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","eSim:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","עמידות:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","Score:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?"
1,1,1,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
1,1,2,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
1,1,3,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
1,2,1,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
1,2,2,14 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
1,2,3,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
1,3,1,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
1,3,2,24 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
1,3,3,48 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
1,4,1,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
1,4,2,7 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
1,4,3,7 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
2,1,1,24 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
2,1,2,48 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
2,1,3,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
2,2,1,14 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
2,2,2,7 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
2,2,3,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
2,3,1,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
