post_number,entry_title,explain_text,source_text,recommendation
90,קובץ עם הטקסט המלא של הספר החדש בסדרת הארי פוטר (המלצה - לא להעביר),"מסתובבות ברשת הרבה גירסאות מזוייפות. אנשים השקיעו הרבה זמן למלא מאות דפים בטקסט שיכול לגרום לקוראים תמימים לחשוב שהם קוראים את הספר החדש של הארי פוטר ולהפיץ את זה הלאה באינטרנט. אפילו אם מישהו יכתוב ""זהה לחלטין למקור"" אין דרך לדעת אלא אם כן משווים מילה במילה עם הספר המקורי המודפס. ואפילו אם מישהו אחר יכתוב לכם שהוא עשה את זה, או שחבר שלו הישווה, איך תוכלו לדעת שזו האמת?ה","""יש לי את הטקסט המלא של ה-הארי פוטר החדש!!!""",avoid
91,ילד בן שבע נשא בבטן את אחיו (המלצה - לא להעביר),"מצאתי התייחסות לסיפור באתר של ה BBC. לפי האתר, מה שנמצא בבטנו של הילד זה גידול שהוא שארית של עובר שהיה אחיו התאום של הילד. הגידול היה ""חי"" באותה מידה שכל גידול ""חי"" בגלל שהוא חלק מהגוף. תחליטו אתם לאיזה נוסח של הידיעה אתם רוצים להאמין, זאת של מעריב המצטט מהדיילי מירור הלונדוני או של ה BBC.
רופאה שקראה כאן את הסיפור הוסיפה את המידע הבא: המושג המדעי לתופעה הוא Fetus in fetu או בתרגום מילולי ""עובר בתוך עובר"".
כאמור, זו תופעה השייכת לקבוצת ההפרעות ההתפתחותיות המוקדמות בעוברים (תאומים סיאמיים שייכים אף הם לקבוצה זו).
עד היום התפרסמו בעתונות הרפואית המדעית כ 70 מקרים בסה""כ מכל העולם (מאוד נדיר!).ה","לצפיה בתמונה, ליחצו כאן.",avoid
92,פרופסור מאוניברסיטת אוקספורד דחה פניה של סטודנט ישראלי לעשות אצלו את הדוקטוראט (המלצה - לא להעביר),"לאחר פניה, האוניברסיטה הוציאה הודעה שמכתב הפניה היה דעתו האישית בלבד של הפרופסור אבל היא נוגדת את מדיניות האוניברסיטה. הנה הנוסח המלא:A spokesperson for the University of Oxford said:
“Our staff may hold strongly felt personal opinions.  Freedom of expression is a fundamental tenet of University life, but under no circumstances are we prepared to accept or condone conduct that appears to, or does, discriminate against anyone on grounds of ethnicity or nationality, whether directly or indirectly.  This candidate is entitled to submit an application and to have it dealt with fairly according to our normal criteria.
“Professor Wilkie has issued a personal apology regarding remarks he made by e mail to an applicant for a research degree at Oxford.  An immediate and thorough investigation of this matter is now being carried out in accordance with the University’s procedures and a report will be presented to the Vice-Chancellor next week.”
Note to editors:
The full text of Professor Wilkie’s apology is:
“I recognise and apologise for any distress caused by my e mail of 23 June and the wholly inappropriate expression of my personal opinions in that document.  I was not speaking on behalf of Oxford University or any of its constituent parts.  I entirely accept the University of Oxford’s Equal Opportunities and Race Equality policies.”ה","Dear Amit D.,
Thank you for contacting me, but I don't think this would  work. I have a  huge problem with the way  that the Israelis take the moral   high ground from  their appalling treatment in the Holocaust, and then inflict   gross human  rights abuses on the Palestinians because the (the   Palestinians) wish to  live in their own country.
I am sure that you are perfectly nice at a personal level,  but no way would  I take on somebody who had served in the Israeli army. As you   may be aware,  I am not the only UK scientist with these views but I'm sure   you will find  another suitable lab if you look around.
Yours sincerely,
Andrew Wilkie",avoid
93,מצלמת מהירות ביציאת המנהרה מתחת לרחוב הירדן (המלצה - לא להעביר),"רונית בנך, דוברת משטרת התנועה, אמרה לי ש-אין למשטרה מכמונות מהירות קבועות בתוך הערים. גם במחלקת דרכים ותנועה בעיריית רמת גן אמרו לי שהם לא הציבו שם מצלמה.עדכון מתושב האיזור (ציטוט): ""בתור תושב האיזור אני יכול לספר לך שמשטרת התנועה אכן מודדת מהירות ביציאה מהמנהרה לכיוון מערב עם מכמונת מצלמה ניידת ולא קבועה המותקנת ברכב טויוטה משטרתית מסומנת. כמעט כל בוקר אני נתקל בה מכיוון שאני עובר ליד המנהרה מימינה. מה שמגוחך הוא שהיא חוסמת את כל נתיב שמאל כדי לצלם את המנהרה משמאלה."" (תודה ליגאל)ה","לתשומת ליבכם.
באלוף שדה, בנסיעה מכוון תל השומר לתל אביב, ביציאת המנהרה מתחת לרחוב הירדן, מוצבת מכמונת מהירות קבועה.
המהירות המותרת בקטע זה  60 קמ""ש.",avoid
94,תמונות של פצע הנגרם מעקיצת עכביש (המלצה - לא להעביר),"שמו של העכביש Brown Recluse בעברית הוא ""שִישַן"". העכביש נקרא כך בגלל העובדה שיש לו שש עיניים ולא שמונה, כמו להרבה עכבישים אחרים. זה הוא עכביש בית קטן (עד לאורך סנטימטר וחצי). הוא ביישן ובדרך כלל מתחבא מתחת לרהיטים ובעומק הארונות. הוא עוקץ רק אם הוא מרגיש מאויים, לדוגמא אם אוחזים בו או שמכניסים רגל לנעל ישנה שבה הוא מסתתר. (תודה לאלון ורבורג מהאוניברסיטה העברית על המידע). התמונות שמופצות מוצגות באתר snopes. עורכי האתר לא בטוחים אם התמונות הן אכן תוצאה של עקיצת ה""שישן"". בדף מצוטט מומחה לעכבישים שטוען שפצע מעקיצת עכביש לא יתפתח בדרך כלל לאופן הנראה בתמונות.
מה שמוזר לי (חנן) בסדרת התמונות זה שאני מניח שהן צולמו במוסד רפואי כל שהוא. בהנחה שאפשר לטפל בעקיצת השישן, למה מצולמת התפתחות הפצע למצב שבו רואים בתמונות?עדכון מתוך כתבה בואללה: 2 מקרי עקיצת עכביש ארסי בשרון . כדאי לשים לב שהתמונה בכתבה היא לא של שישן. השישן הוא עכביש חום ולא שחור. המסקנה מהכתבה יכולה להיות שלא כדאי להכניס ידיים ורגליים למקומות שלא רואים מה יש בהם. (תודה לאייל ז""ק על הקישור)ה",סדרה (מגעילה) של תמונות המציגה התפתחות של פצע שנגרם מעקיצת העכביש Brown Recluse,avoid
95,טריק לרימוי וירוסים בדואר אלקטרוני (המלצה - לא להעביר),"נשמע הגיוני? נכון, אבל זה לא עובד. אל תנסו ואל תעבירו. השיטה הכי טובה להתגונן מפני וירוסים היא להתקין תוכנת אנטי ולדאוג שהיא תהיה מעודכנת.ה","למדתי היום טריק מחשבים מדהים. כפי שאתם יודעים, אם/כאשר וירוס מסוג תולעת נכנס לכם למחשב, הוא פונה ישירות לפנקס הכתובות של תוכנת הדוא""ל (דואר אלקטרוני - אימייל) שלכם ושולח עצמו לכל מי שנמצא ברשימה, וכך הוא פוגע גם בכל חבריכם ומכריכם המופיעים  ברשימתכם.
הפעולה היא פשוטה ביותר: ראשית, פתחו את רשימת הכתובות שלכם ולחצו על הכפתור בעזרתו אתם מכניסים כתובת אימייל חדשה. בחלון בו אתם רוצים לרשום את שמו הפרטי של החבר החדש, הקלידו 000! (סימן קריאה ואחריו 3 אפסים). בחלון מתחת, בו אתם אמורים להקליד את כתובת האימייל של אותו חבר חדש, הקלידו WormAlert (ישנן תוכנות אשר ללא הסימן @, אינן מאפשרות לכן להזין את הכתובת החדשה. במקרה זה, הקלידו WormAlert@w) ולאחר מכן השלימו את הפעולה של הכנסת הכתובת החדשה ע""י לחיצה עם הקליק השמאלי של העכבר על ok או add או enter, בהתאם למה שתוכנת הדוא""ל שלכם מראה.
עתה, ראו איזה פלא: השם 000! ימוקם בראש רשימת פנקס הכתובות שלכם, שם תתחיל התולעת במאמציה לשלוח עצמה לכל הרשימת כתובות שלכם. אולם, כאשר היא תנסה לשלוח עצמה ל- 000! היא לא תוכל לבצע זאת עקב הכתובת שאיננה קיימת –.WormAlert_ כאשר הניסיון הראשון שלה לשלוח עצמה נכשל (וכך אכן יקרה בגלל הכתובת השגויה), התולעת לא ממשיכה בניסיונותיה וחבריכם לא יושפעו ממנה ולא יפגעו.
היתרון הגדול השני של שיטה זו הוא שכאשר אימייל לא יכול להישלח, אתם מקבלים הודעה מיידית על כך בתיבת ה- Inbox שלכם. לכן, אם אתם מקבלים הודעת אימייל בה כתוב שהאימייל שהיה אמור להישלח ל- 000! שכתובתו היא WormAlert או WormAlert@w לא נשלח עקב אי זיהוי הכתובת אימייל הרשומה, אתם יודעים לצערכם באופן מיידי כי נכנס למערכת המחשב שלכם וירוס מסוג תולעת וכי עליכם לפעול הלאה כדי להוציאו מן המערכת.
שלחו הודעה זו לכל רשימת חברי פנקס הכתובות שלכם, וכך, אם כל אחד מהם יבצע פעולה זו, תוכלו גם אתם להיות מוגנים יותר ולא לחשוש מפתיחת אימיילים שנשלחים לכם ע""י חבריכם, המכילים וירוס מסוג תולעת, אפילו שלא באשמתם.",avoid
96,בקרוב נצטרך לשלם על ICQ (המלצה - לא להעביר),השמועה השגויה הזאת מסתובבת בגירסאות שונות בערך מהיום הראשון ש ICQ היה קיים. לקריאה נוספת ב-אתר שמועות ICQה,ראש חברת האייסיקיו החליט שמה-14.8.03 האיייסיקיו יעלה 10 דולר צריך 200 אלף אנשים אז תעבירו לכל הרשימה‏. מספיק שתעביר לכל המחוברים שלך!!,avoid
97,"אנא עיזרו לנו למצוא את בננו, אייל ידידיה!! (המלצה - לא להעביר)",הבחור נמצא. הכל בסדר. אפשר להפסיק להעביר.ה,"חבר'ה,
בבקשה תמשיכו להעביר מייל זה. אם יש למישהו חברים או קרובי משפחה שנמצאים  באוסטרליה, חשוב מאוד להעביר להם את המייל.
אנא העבירו את המייל לכל מי שרק אפשר!! הבן של החברים שלנו מהקיבוץ, מימי ויורם, נעלם באוסטרליה ומזה כחודש וחצי לא יצר שום קשר. אייל נהג להתקשר לפחות פעם בשבוע!
שלום רב,
אנו זקוקים לכל עזרה אפשרית כדי לאתר את בננו, אייל ידידיה , שמזה כחודש  וחצי לא יצר כל קשר איתנו.
אייל נמצא באוסטרליה מזה כשנתיים. במשך כל התקופה הזו הוא הקפיד ליצור  עימנו קשר בטלפון/ מייל לפחות פעם בשבוע!
אייל נוסע ברחבי אוסטרליה ברכב שלו שהוא קנה באוסטרליה (כל מה שאנו יודעים זה שמדובר ברכב מסוג ואן) ואין לו מקום קבוע שבו הוא שוהה.
בשיחתו האחרונה הוא סיפר שהוא נמצא בחווה בבריסבן - קוטף קלמנטינות.
בתדפיסי הבנק גילינו שנעשתה פעולה אחרונה בתאריך 16/6/03 ממקום שנקרא: PARRAMATTA. לנו לא היה כל מידע שאייל עבר למקום זה.
כמו כן אייל סיפר בשיחה האחרונה שהוא מתעד להגיע לביקור בארץ באוגוסט וככל.
הנראה שהוא יבחר להגיע דרך רבת-עמון.
אנו דואגים מאוד וחוששים לשלומו, אנא עיזרו לנו למצוא את בננו, אייל ידידיה!!
למייל זה מצורפת תמונתו של אייל.
בברכה ובהמון תודות מראש על כל סיוע,
יורם ומימי ידידיה
קיבוץ נצר-סרני",avoid
98,מה הם יודעים על הקוראן? (המלצה - לא להעביר),"התפישה כאילו העם שיציג את הטקסט דתי הנכון הוא זה שיקבל את הזכות על עיר הקודש, מוטעית. מה שייקבע הם תהליכים פוליטיים. התייחסות לפסוקים מסויימים בטקסט דתי בלי לקחת בחשבון את הטקסטים הדתיים שמרחיבים אותו ומפרשים אותו (כמו ספרות התורה שבעל פה של היהודים) מצביעה על כוונות לא טהורות או בּוּרוּת של הכותב. זילזול בהבנתו של עם אחד את הטקסט המקודש שלו מנסה לגרום לליבוי הסיכסוך ולא לנסיון לפתור אותו. אני חושד שזה כוונתו של הכותב. אמירתי האישית היא ""מוות לא מצדיק מוות"", אבל לא חייבים להסכים איתי, כמובן.עדכון (מתוך פורום תאולוגיה בתפוז): התרגום באופן כללי מרושל למדי. לא השוויתי לתרגום מוסמך, אבל למיטב שיפוטי אין שם טעויות רציניות, סתם עבודה עלובה.
דבר אד חשוב יש לציין - בשום מקום בפסוקים שהם הביאו לא מוזכרת התורה. מוזכר ""הספר"". בקראן משמעות ""הספר"" היא הקראן עצמו, ולא משהו אחר. זה מתאים לאמירה הכללית של האסלאם שהבשורה בקראן אינה חדשה, אלא רק גרסה ערבית מדויקת של הבשורה הישנה.
בקיצור - כל העסק נשען על בורות בסיסית באסלאם (או התעלמות מהעובדות), על תרגום חופשי מאוד ועל הקפדה לצטט מחוץ לקונטקסט.ה","ארץ ישראל מובטחת לעם היהודי ע""י ..... הקוראן!
סורה 5,  24 : משה מדבר לעם ישראל: ""התקדמו בדרככם אל הארץ הקדושה אשר הבטיח (אללה) לכם"".
סורה 7, 133: ""אחר כך הורשנו לעם המעונה את הארץ הקדושה, את מזרחה ומערבה, ונתקיימו כל ההבטחות של ריבונך לבני ישראל ..."".
סורה 10, 93: ""אחר-כך הושבנו את בני ישראל לבטח בארצם והענקנו להם מכל טוב. ""
סורה 17, 105,106: אללה מדבר ומזכיר את ההיסטוריה: ""הטבענו אותו [פרעה] ואת כל אשר לו יחדיו ואחר כך אמרנו לבני ישראל: 'התנחלו בארץ ישראל וביום האחרון תופיעו בפנינו  יחדיו'..."".
סורה 28, 3-:-5: ""אך אנו החלטנו להטות חסד לחלשים ולעשותם למנהיגים ויורשים בארץ שהחלטנו להושיבם בה,  וכן להביא על ידיהם על פרעה ועל המן עם צבאותיהם את האבדון שהיו חוששים ממנו.""
סורה = פסוק בקוראן
הקוראן קובע שהתנ""ך הוא האורים והתומים
סורה 2, 81 : ""אנו (אללה) נתנו למשה את ספר התורה ושיגרנו לאחר מכן עוד שליחים ..."".
סורה 6, 155,156 , אללה מצהיר: ""אנו נתנו למשה את הספר בשלמותו! ... ספר זה מבורך הוא"".
סורה 10, 94: ""אם יש לך ספק כל שהוא בדבר-מה [מן הקוראן] שהורד אליך, שאל את [בני ישראל]  שקיבלו ולמדו את ספר [התורה] לפניך"". כך התנ""ך מקובל כיותר מדויק  ומושלם מאשר הקוראן.
סורה 46, 11 : ""לפני (הקוראן) ניתן ספר [התורה] למשה בהדרכה וחסד וספר (הקוראן)  מאשר אותו בשפה הערבית ..."".  מוחמד, הפונה למוסלמים, מצווה:
סורה 4, 135 :  ""המאמינים! האמינו באללה ובשליחו ובספר אשר הוריד לשליחו וכן בספר (התורה) שהורד מקודם...""
סורה 46, 8: ""אין אני מחדש דבר שלא נתגלה כבר על-ידי השליחים שקדמו לי"".
של מי ירושלים על פי הקוראן ?
בקוראן העיר ירושלים אינה מוזכרת כלל !!!
הקוראן קובע שנושאים שלא ברורים יש לפנות לתנ""ך = סורה 94,10
בתנ""ך מובהר מפורשות ירושלים העיר הקדושה לעם היהודי
מסקנה = הקוראן מסכים כי ירושלים שייכת לעם היהודי
אז מה הם יודעים על הקוראן ?!
כנראה מעט מדי
אז מה לעשות ?
להעביר את הדוא""ל הזה לכמה שיותר אנשים כדי שילמדו מה באמת אומר הקוראן ובאילו שקרים ממלאים להם את הראש ""אנשי הדת""",avoid
99,שאלות אמיתיות של עורכי דין אמיתיים (המלצה - לא להעביר),"יכול להיות שהשאלות והתשובות אמיתיות, אבל אני מצאתי את אותן השאלות והתשובות באנגלית בדף שכותרתו Lawer Jokes.ה","להלן 10 שאלות אמיתיות שעורכי דין שאלו עדים במהלך משפטים שונים, לרבות חלק מהתשובות של אותם עדים, אותן קיבלתי מאתר עורכי דין:
1.      אדוני הרופא, זה נכון שכאשר אדם מת בשנתו, הוא לא יידע על כך עד לבוקר שלמחרת?
2.      היית נוכח כשתמונתך צולמה?
3.      זה היית אתה או אחיך הצעיר שנהרג במלחמה?
4.      מה היה המרחק בין שני הרכבים ברגע ההתנגשות ביניהם?
5.      זה נכון שהיית במקום עד שהלכת משם ?
6.      היו לה 3 ילדים? - נכון. כמה מהם היו בנים? - אף אחד. כמה מהם היו בנות?
7.      כיצד הסתיימו נישואיך הראשונים? - במוות. המוות של מי סיים את הנשואים?
8.      על כל תשובותיך להיות בעל פה! - בסדר. לאיזה בי""ס הלכת? - בעל פה.
9.      דוקטור, לפני שביצעת את הניתוח לאחר המוות, בדקת קיומו של דופק? - לא. בדקת קיומו של לחץ דם? - לא. בדקת נשימה? - לא. אז יכול להיות שהחולה היה בחיים כשהתחלת את הניתוח לאחר המוות? - לא. כיצד אתה יכול להיות בטוח דוקטור? - משום שהמוח שלו ישב בצנצנת על שולחני. אבל יכול להיות שלמרות זאת החולה היה עדיין בחיים? - יכול להיות שהוא היה בחיים ועסק בעריכת דין.
10.    תוכל לתת תיאור שלו? - הוא היה בגובה ממוצע ועם זקן. זה היה זכר או נקבה?",avoid
